title,link,published,description,source,fetched_at
TaxDown strengthens its commitment to tax management with AI after raising 4 million euros,https://contxto.com/en/funding/taxdown-strengthens-its-commitment-to-tax-management-with-ai-after-raising-4-million-euros/,"Mon, 05 May 2025 21:26:48 +0000","Spain’s TaxDown has closed a €4 million investment round led by Bonsai Partners, a renowned venture capital fund with stakes in companies such as Wallapop and Glovo. This transaction comes at a key moment for the company, which was recently recognized as the second fastest growing scale-up in Spain after exceeding €10 million in turnover. The Latin American market has become a pillar for TaxDown, with Mexico representing 35% of its volume of operations. Enrique García, CEO of the company, explained to Contxto the reasons for this approach: “We identified that 8 out of 10 taxpayers are entitled to a refund, but 60% never claim it, leaving up to 15,000 Mexican pesos unrecovered”. This situation is partly due to the “fear of SAT” (Mexico’s Tax Administration Service) that persists among the population. “Many people prefer not to touch anything for fear of making mistakes,” García stated. To address this problem, TaxDown has developed solutions adapted to the local context, managing in just one year of operations to capture 1.5 million users in the country. Technology that transforms the tax experience TaxDown’s model combines artificial intelligence with a team of more than 200 tax advisors. Its system has processed more than 2 million personal income tax simulations between Spain and Mexico, automatically analyzing more than 500 tax variables. The results are convincing: a 40% reduction in common tax return errors and detection of non-applied deductions in 32% of cases. “AI does not replace the expert, but it multiplies their efficiency,” García emphasized. This technological synergy allows advisors to resolve queries 200 times more efficiently, thanks to tools that automate everything from data extraction to regulatory updates. The new funds will be used primarily to strengthen the AI team and expand operations in Mexico. “We are developing personalized alerts, intelligent tax recommendations and better integration with official sources,” the CEO advanced. The vision for the future is clear: to transform tax filing into a seamless and automatic process, eliminating traditional forms. This investment reflects a global trend in the tax fintech sector, which has captured more than US$1.2 billion by 2024 according to CB Insights. Latin America represents 15% of this growing market, with Mexico and Brazil as the main focus of expansion. With this investment and its efficient growth model, TaxDown is positioned as a case study in the application of AI to simplify complex processes. The good results in Mexico lay the groundwork for future expansion in Latin America, always with the focus on making taxation more accessible to all taxpayers.",,2025-05-08T10:18:43.687525
Diio raises $2.5 million seed round led by Base10,https://contxto.com/en/news/diio-raises-2-5-million-seed-round-led-by-base10/,"Mon, 05 May 2025 15:57:46 +0000","The diio platform, which uses artificial intelligence to assist sales teams, announced a $2.5 million seed funding round led by Base10 Partners. The funds will be used to accelerate its expansion in Latin America, where it already operates in markets such as Chile, Mexico and Colombia. The AI-based business tools sector has grown 34% year-on-year in the region, according to Americas Market Intelligence data. However, many existing solutions face adoption problems due to their complexity and high costs. “Sixty percent of sales teams in the region still rely on spreadsheets and manual processes,” noted a recent Endeavor study. diio was created by Paolo Colonnello, former product manager at Capitalizarme, and Nicolás Kipreos de la Fuente, co-founder of Beetrack –acquired by DispatchTrack in 2021. The platform automatically analyzes meetings, calls and messages to identify sales opportunities, churn risks and pending proposals. “The problem was not the lack of data, but the inability to transform it into concrete actions,” Colonnello explained to Contxto. According to company figures, 70% of the information generated in commercial processes is never used to make decisions. Currently, more than 200 companies use diio, including Buk, Xepelin and Betterfly. Some cases report significant improvements, for example Buk increased the completeness of its CRM by 95%. They also shared data on Webdox, which doubled its conversion rates in meetings. The Latin American business software market is growing at a rate of 28% per year, driven by the digitalization of SMEs and large companies. However, only 15% of organizations in the region use tools with advanced AI capabilities, according to IDC. Next steps and investor vision With the new investment, diio plans to enhance its SPARK model, which uses generative AI to analyze business performance. In 2023, the platform was selected by AWS out of 4,700 global startups for its potential for impact. “diio is changing how commercial teams work, not just adding another tool,” said Rexhi Dollaku of Base10 Partners, in a press release. The venture capital firm has invested in several Latin American tech startups, although it scaled back its operations in the region during 2022. The challenge now will be to scale in a market where 40% of commercial software implementations fail in the first six months, according to Gartner. “The key is to maintain simplicity while adding advanced capabilities,” Kipreos concluded. As the industry moves toward greater automation, solutions such as diio seek to close the gap between business data and concrete actions, a problem that according to consulting firms such as McKinsey costs Latin American companies up to $23 billion annually in lost opportunities.",,2025-05-08T10:18:43.687525
"$400,000 Green Hub fund financed by IDB Lab will boost climatech startups through ChileGlobal Ventures",https://contxto.com/en/venture-capital-es/400000-green-hub-fund-financed-by-idb-lab-will-boost-climatech-startups-through-chileglobal-ventures/,"Mon, 05 May 2025 15:06:41 +0000","Entrepreneurship has become a highly valuable source of innovation to address various social challenges. Climate change is one of the most latent challenges of our time, so it is necessary to ensure access to funding for initiatives that address this issue. In order to support climatech startups working to develop solutions through technology, a new $400,000 fund was launched by the IDB Lab, part of the Inter-American Development Bank, and ChileGlobal Ventures, the entrepreneurship, innovation and investment arm of Fundación Chile. This debt fund is called Green Hub and its mission is to finance at least 10 solutions by 2025, with loans based on revenues of up to USD $40,000. Depending on the success of their business models (revenue generated), the supported startups will repay their debt in fixed installments over a term of up to 36 months. BID Lab’s lead specialist, Carolina Carrasco, explained that “Chile’s productivity and sustainable growth challenges cannot be addressed without innovation and the incorporation of new technologies, which often face difficulties in obtaining financing precisely because of this innovation”. A region with climate change mitigation The region’s high economic dependence on fossil fuels represents a difficult challenge to overcome. In addition to growing emissions from deforestation, high transition costs, and other challenges in the fight to mitigate climate change, the region needs to develop financial plans and adopt green fiscal rules. According to a report by the United Nations Development Program, while the region has committed to reducing greenhouse gas emissions by 2030 and is aiming for net zero emissions by 2050, ecosystem cooperation and support for innovation are key to making progress towards these goals. Exclusive opportunity for startups In a press release shared with Contxto, Sebastián Burgos, Director of Business Development at ChileGlobal Ventures of Fundación Chile, who also leads the fund, said that “this is an instrument that closes a gap faced by startups with climate innovations, which are not accessing venture capital in an agile way, but which are not eligible to be financed by traditional banks due to their characteristics.” The companies that will be able to access this benefit are those that are being or have been accelerated by ChileGlobal Ventures programs, that are in the growth phase and that implement innovative technologies, technically and commercially validated. In addition, companies interested in accessing the Green Hub fund must contribute to sustainable growth, resilience and sustainability and ensure commitment to the implementation of ESG criteria and monitoring of their impact metrics, i.e. that their business practices are consistent with the fight for environmental sustainability.",,2025-05-08T10:18:43.687525
Prosus Ventures leads $7.25 million round for Zapia,https://contxto.com/en/funding/prosus-ventures-leads-7-25-million-round-for-zapia/,"Fri, 02 May 2025 19:54:09 +0000","Zapia, an AI executive assistant on WhatsApp for Latin America, raised $7.25 million as an extension of its seed funding totaling $12.35 million (a seed stage amount that nods to the prosperous days of venture capital). The round is led by Prosus Ventures, one of the world’s largest technology and e-commerce investors. Also participating are Endeavor Catalyst (led by LinkedIn’s Reid Hoffman); Anthos Capital, Factory HQ and SnR. Originally from Uruguay, Zapia is an artificial intelligence (AI) assistant on Whatsapp. It is used by more than 3.5 million users across the region. “I come from Uruguay, a country of only 3 million people, so seeing Zapia surpass that number of users shows how deeply the solution resonates. Our mission is to use AI to help Latin Americans save time, save money and live better,” said Juan Pablo Pereira, CEO and co-founder of Zapia in a statement. Juan Pablo Pereira has been an Endeavor entrepreneur since 2018 and also founder of Tiendamia, a crossborder e-commerce startup founded in 2015. His first venture now generates nine-figure sales in 10 countries. His second venture is Zapia, which was founded in April 2023. The tool helps people — for free — find products and services, manage tasks, set reminders, summarize content and more, through a chat interface. In addition, the company has apps for iOS and Android, with more than half a million downloads so far. It originated as a tool for answering questions and transcribing audio messages for free. Today, Zapia can browse the web on behalf of the user, interpret images and PDF files, write content, set WhatsApp reminders, schedule messages, among other features. Revolutionizing with AI Zapia claims that its team includes one of the most experienced AI teams in Latin America. In addition to Juan Pablo Pereira, the team is made up of Nicolás Loeff (CTO), based in Silicon Valley, who has a PhD in Machine Learning, is a Fulbright scholar and previously led AI teams for Google. He has been working in AI and Machine Learning for the past 15 years. Other members of the team are Martín Alcalá Rubí -who has been building AI companies such as TryoLabs and MonkeyLearn for 15 years-, Juan Olloniego -Machine Learning master, formerly at Landing AI and TryoLabs-, as well as Pablo Rodríguez Bocca, PhD in Computer Science, formerly at Antel. Looking ahead, Zapia will soon introduce a new capability: an AI agent designed to automate real-world tasks in the real world to automate real-world tasks directly through WhatsApp, the tool will include solutions in reservations and price comparison.",,2025-05-08T10:18:43.687525
Kiwi raises $10 million to boost medical financing in Latin America,https://contxto.com/en/funding/kiwi-raises-10-million-to-boost-medical-financing-in-latin-america/,"Thu, 01 May 2025 21:28:54 +0000","Specialized healthcare financing platform Kiwi announced a $10 million seed round, combining equity and debt, according to sources close to Contxto. The deal marks the formal start of its operations in Peru and lays the groundwork for its planned expansion into Mexico in 2026. Kiwi’s operating model is based on two pillars. On one hand, it facilitates access to credit for patients who need to cover immediate medical expenses. On another, it offers a set of financial solutions tailored to the specific needs of clinics and healthcare professionals. The startup, co-founded in Miami by brothers Sebastian and Gabriel Chirinos, presented a digital platform that integrates directly with the management systems of partner medical institutions, enabling credit approval processes in a matter of minutes. Financing for patients Latin America registers annually more than $60 billion dollars in direct payments for healthcare services, a phenomenon driven by the limited coverage of private health insurance and the capacity restrictions of public systems. This situation has generated an ecosystem dominated by ‘trickle-down’ lending and, in many cases, recourse to informal financing alternatives with unfavorable conditions for users. The financial structure of the round includes $2 million in equity and $8 million in debt, mainly aimed at the Peruvian market. “The post-investment valuation reaches $7 million, which reflects the investors’ confidence in our model,” a spokesperson told Contxto. Notable investors include Tyler Johnson of HFD and MVRK Capital, who along with Beau Woodward and Jacob Panero will join the board. In Peru, the company has already established agreements with 73 medical centers specializing in areas such as dentistry, ophthalmology and fertility treatments. “Initial data show average amounts of $1,000 per patient with terms up to 24 months and a delinquency of 3.5%, below the regional average,” the spokesperson said of the preliminary results. Next steps The growth strategy contemplates a gradual expansion. In the short term, the focus will be on consolidating its presence in Peru, where it plans to add 150 additional clinics over the next 12 months. The startup is preparing to enter the Mexican market, scheduled for the first quarter of 2026, through a strategic alliance with a local operator with extensive experience in the healthcare sector. This approach of expansion through alliances seeks to be replicated in other Central American markets starting in 2027. In terms of challenges, it is known that the sector requires significant amounts of capital to finance loans, while at the same time strict controls on delinquency rates must be maintained. The adoption of the model by clinics and the potential competitive response from traditional players in the financial sector represent critical variables that could influence the company’s future trajectory. The transition from pilot operations to significant scale, particularly with the planned expansion into Mexico, will be a key inflection point. In the meantime, the company is focused on consolidating its position in Peru, optimizing its risk algorithms and strengthening its network of alliances with medical institutions in an effort to build a solid foundation for regional growth.",,2025-05-08T10:18:43.687525
Mexico’s Nufi raises $1.5 million and expands its identity validation services,https://contxto.com/en/funding/mexicos-nufi-raises-1-5-million-and-expands-its-identity-validation-services/,"Mon, 21 Apr 2025 18:08:39 +0000","Digitalization is an issue that is now part of the everyday life of many people. Security and identity verification have become important issues for both individuals and companies. Nufi seeks to address these challenges, and to achieve this they recently raised a seed round of 1.5 million dollars. The round was led by GPCompas and Magma Partners, with the participation of Semilla Ventures, Ganas Ventures, Techstars Follow Up Fund and AngelHub, as well as angel investors. Founded in the city of Monterrey by Ilich Nuñez and Hans Villa, Nufi specializes in offering services to various industries that require verifying the identity of its users quickly, accurately and securely, providing solutions that not only improve the efficiency of verification processes, but also guarantee a high level of security to protect sensitive data, according to company information. “Nufi is a platform that allows you to validate the identity of any person or company in Mexico in less than five minutes, so you can make a decision whether you trust or nom this helps organizations when making a loan, for example,” Hans Villa, CEO and co-founder of Nufi, told Contxto. Expanding services nationwide With the funds raised, the startup plans to expand its services nationwide. “We are going to expand our national coverage, improve our document processing and business registration products, and continue building a more secure, fast and reliable digital identity for all of Mexico,” said Villa. Additionally, the capital injection will allow them to boost their operations and accelerate the development of their specialized identity verification platform for individuals and businesses. “This additional round allows us to accelerate what we have already been building state-of-the-art technology to validate people and companies in less than 5 minutes,” added Villa. The round comes at a time when venture capital investment in Mexico fell more than 90% in January, according to TTR Data. Nufi’s case shows that it is possible to raise capital when executed with focus and results. While many startups face barriers, the company’s claim that it is solving a real problem with technology that already works is still the best calling card. “At GPCompas we invest in solutions with tangible impact. Nufi solves a challenge faced by many industries, and it does so with technology that is already proven. Even our allied companies have integrated its solution,” emphasized Braulio Arsuaga, founder of GPCompas. For now, Nufi operates exclusively in Mexico, where it has consolidated its client base in different industries, such as human resources, real estate, supplier registration and fintech, which use the service to find out if a person is granted credit, opens an account or is given a financial product.",,2025-05-08T10:18:43.687525
Fastfold: Latin American startup accelerating scientific discovery through its AI agent,https://contxto.com/en/biotech/fastfold-latin-american-startup-accelerating-scientific-discovery-through-its-ai-agent/,"Fri, 18 Apr 2025 17:39:07 +0000","In recent years, artificial intelligence has ceased to be a futuristic promise and has become a real tool that is already transforming fields such as medicine, agriculture and biotechnology. In the scientific landscape, where the race for technological innovation is fought mainly between global economic powers, a story emerges from Latin America that seeks to highlight the talent and capabilities available in the region. It is the startup Fastfold, which emerges as an exceptional case in the region: a platform that uses AI to accelerate scientific discovery and democratize research in molecular biology. Founded by Julio Castellanos and Esteban Maya, this company is redefining how protein engineering is approached, a critical field for the development of drugs, resilient crops and innovative therapies. What is most remarkable is that they are doing it from a region that has historically faced economic and technological barriers to compete in global science. In an interview with Contxto, Esteban Maya, CTO of the company, explains their development philosophy: “We have built from scratch, to a functional product and launched in the market with founders’ own money (Bootstrap), and some credits from cloud providers”. This bootstrap approach demonstrates that it is possible to create world-class technology even with limited resources. In addition to starting with little capital, Fastfold has managed to overcome specific obstacles to developing cutting-edge technology in the region, as CEO Julio Castellanos explains: “One of the main challenges in Latin America is the limited access to accelerated computing, due to the high cost of GPUs such as Nvidia’s and the high prices of large-scale cloud”. While startup loans are available, priority is usually given to U.S. companies, leaving those in the region with restricted access. On the other hand, Castellanos comments that “the ecosystem is not yet well articulated to adopt AI solutions with a scientific approach. Most initiatives are focused on commercial applications, while scientific research and publication – which is our focus – receives little institutional support”. However, this reality has not deterred the team, which has adopted an ingenious approach to circumvent these limitations. Atomic precision and breakthrough speed Fastfold’s platform is achieving what many considered impossible: matching the accuracy of traditional protein research methods. As Castellanos details, “Fastfold offers optimized computation and models such as AlphaFold that not only maintain accuracy comparable to experimental methods such as X-ray crystallography, but also dramatic improvements in speed and cost.” AlphaFold, for example, demonstrated unprecedented performance in the international CASP14 (Critical Assessment of Protein Structure Prediction) competition, which evaluates accuracy in protein structure prediction. “The main metric used by CASP is the Global Distance Test (GDT), which ranges from 0 to 100. Simply put, it can be understood as the percentage of amino acid residues whose predicted position falls within a distance threshold with respect to the actual position,” explains Julio Castellanos. “In CASP14, AlphaFold achieved an average score of 92.4 GDT across all targets, with an average error (RMSD) of approximately 1.6 Ångstroms, i.e., comparable to the width of an atom. Even in the most challenging cases of free modeling, it obtained an average score of 87.0 GDT, far outperforming other methods,” explains Julio Castellanos. A project of technological sovereignty For Fastfold’s founders, their initiative transcends the commercial sphere. Esteban Maya says that “artificial intelligence represents a unique opportunity for Latin America to move towards true technological sovereignty, allowing the region not only to consume technology, but also to develop and export it”. This philosophy is materialized in concrete applications that could transform key sectors of the regional economy. In the field of health, the platform could accelerate the development of vaccines and drugs. In agriculture, it offers tools to optimize crops that are resistant to climate change. And in education, it democratizes access to advanced research tools. On future plans, Maya shares a measured strategy: “We want to make some key partnerships, publish some papers and have some revenue, thus demonstrating that with a small team and without requiring large sums of capital, we can achieve a lot”. This approach reflects a deep understanding of the regional investment ecosystem, which, as Maya points out, needs to evolve: “Venture capital should focus on deeptech, climatech, biotech and HealthTech products, which are the sectors that need large amounts of capital to start their projects and validate themselves”. A new paradigm for regional science Fastfold represents more than a business success; it is a model of how Latin America can overcome structural limitations to compete in global science. As Castellanos summarizes: “Our focus is on doing science with global impact, but accessible, adapted to a market that is still in the process of consolidation to support deep innovation”. In a world where biotechnology will be key to solving the great challenges of humanity, initiatives such as Fastfold position Latin America as a relevant player in this scientific revolution. Its history shows that with talent, vision and perseverance, the region can not only participate, but lead in the frontier of knowledge.",,2025-05-08T10:18:43.687525
Vetalia seeks to improve veterinary services in Mexico with technology,https://contxto.com/en/news/vetalia-seeks-to-improve-veterinary-services-in-mexico-with-technology/,"Wed, 16 Apr 2025 17:34:11 +0000","María Gutiérrez, co-founder and CEO of Vetalia is convinced that the animal care industry -especially the veterinary service industry- is a very neglected industry in which there are several inefficiencies that have an impact on the quality of services for the end consumer. That is why he founded Vetalia 18 months ago, together with his team formed by Marion Benítez Landa, CGO, Antonio R. Remolina, Chief Medical Officer and Fernando Estrada, COO. The startup has managed to build an innovative and standardized animal health ecosystem with the help of technology. “The consumer is increasingly demanding with the quality of veterinary services and Vetalia is a response to this,” Maria Gutierrez shared to Contxto. “We saw a huge opportunity in improving customer care and service, in addition to having understood the pain-points of operating a network of hospitals, providing improvements in the animal health ecosystem in general, thus solving problems for ourselves, which we then scaled for other companies,” she added. In a nutshell, Vetalia is an animal health ecosystem (a B2C business) and provides solutions to other animal health companies (through a B2B business). It currently has a portfolio of more than 15,000 clients, with an average recurrence of 5 visits per year. Within the veterinary clinics vertical, it offers preventive services, surgeries, emergencies and specialties. It also has a business sales vertical where it offers diverse solutions to more veterinarians. Gutierrez boasted that from December 2023 to December 2024 they had a revenue growth of 400%, so that by 2025 they are looking to close with triple-digit growth. For now, the company has a portfolio of 10 hospitals of its own, 5 veterinary companies in partnership and two additional verticals of services to the industry. By the end of 2025, the goal is to close with 16 owned clinics and 10 integrated veterinary assets. Vetalia has managed to scale with control and sustainability, achieving that its hospitals reach the operating break-even point on average in the fourth month of operation. They currently have a presence in Mexico City, State of Mexico and Monterrey. “Our plan is to reach the main cities in the country and expand there,” he said. To finance growth, the company not only leverages its own cash flow, but also the Series A raised in 2023, in which it raised 10 million dollars from IGZUS, a private equity fund, and strategic investors. Technology-enhanced veterinary care According to Storecheck, a market data analytics firm, the pet care industry will reach $90.4 billion by 2025, growing at 4.5% annually. This industry still has the potential to transform through technology. Another example of this is Petycard, a Mexican startup that offers a digital loyalty card that connects pet lovers with businesses that offer products and services, from veterinarians to pet-friendly restaurants. Jorge Kuri, founder of Petycard, said that in Mexico around 70% have a pet and are more concerned than before about their care. At Vetalia, technology is a central asset, said Gutiérrez. “We use it both to streamline our operations and reduce costs, which translates into a benefit for users, and to provide a customer service platform that also drives our growth and ability to attract and retain customers.” For Gutiérrez, the main problem that Vetalia solves is customer service. The CEO explained that with technology, through the platform, she gives her clients the opportunity to schedule appointments, have centralized clinical records and follow up on their pets, which creates a much more complete experience. On the other hand, Vetalia is developing technology to offer various solutions to more veterinarians and thus consolidate its B2B vertical. “Technology has been a great ally to solve operational inefficiencies,” concluded the entrepreneur.",,2025-05-08T10:18:43.687525
Kavak raises $127 million round and ends up with 75% lower valuation,https://contxto.com/en/funding/kavak-raises-127-million-round-and-ends-up-with-75-lower-valuation/,"Tue, 15 Apr 2025 22:31:05 +0000","Mexican used car buying and selling startup Kavak that was once valued at $8.7 billion in 2021 is now worth 75% less, after closing a $127 million round in March led by SoftBank Group Corp and General Atlantic, according to Bloomberg. The down round has valued Kavak at $2.2 billion, the same valuation as cryptocurrency unicorn Bitso. With this, it leaves the title of Latin America’s most valuable unicorn now held by Colombian fast delivery and travel platform, Rappi, with a valuation of $5.2 billion. Kavak also disclosed that it secured two lines of credit from Goldman Sachs and HSBC, the company’s founder, Carlos Garcia Ottati, told Bloomberg News. Garcia Ottati said the capital will help it continue to grow and strengthen its automotive lending business, which is now financing about 60% of purchases on the platform through Kuna Capital, its financing arm. Kavak’s route In times of venture capital boom Kavak was among the most benefited startups. In 2021 it more than doubled its then $4 billion valuation after closing a Series E of more than $700 million. Founded in 2016, Kavak was among the fastest growing unicorn startups within Mexico and by 2022 began expanding into Latin America and the Middle East. According to Bloomberg’s report, Kavak spent $86 million in cash in the first quarter of 2022 alone, according to a letter to investors dated May of that year. Among the items in those expenditures were million-dollar advertising contracts with soccer teams and individual players, as well as Mexican race car driver Sergio “Checo” Perez. After the rapid expansion in 2022, Kavak began to restructure with a series of layoffs, including country managers in some countries, which showed that the strategy was not on track. Its aggressive expansion led it to shrink until it closed its Colombian and Peruvian operations in 2023. Garcia Ottati had said in 2022, also in an interview with Bloomberg, that Kavak was going to reach profitability in 2023, which did not happen. In the recent interview with Bloomberg, Kavak’s CEO said, “We haven’t reached annual profitability yet, but we are on track to achieve it in all markets by 2025 and hopefully by the end of the year overall.” For the time being, Kavak is focused on improving its operations in Mexico, which account for about 60% of its business. The company is looking to be prepared for a possible IPO in three to five years, its CEO said in that interview. Unicorns and valuations After the venture capital boom, which ended in 2022, Latin American unicorns had not received more capital until last year when Clip, Ualá and Clara began raising large rounds of capital in excess of $50 million. In these cases the founders have not openly shared the new valuations, but have assured that these rounds have not been downward. CB Insights, which keeps track of all the unicorns in the world (and updated through January 2025), still has on record the past valuations of these startups that have received new capital, which confirms their testimony.",,2025-05-08T10:18:43.687525
Mexican fintech Kueski is betting on the financial inclusion of the elderly,https://contxto.com/en/fintech/mexican-fintech-kueski-is-betting-on-the-financial-inclusion-of-the-elderly/,"Mon, 14 Apr 2025 20:55:55 +0000","Kueski, a Mexican fintech for personal loans and buy now pay later (BNPL), was recently recognized by the Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros (Condusef) with the Insignia Compromiso en la Atención a las Personas Adultas Mayores. With this, the Guadalajara-based fintech becomes the first SOFOM E.N.R (Sociedad Financiera de Objeto Múltiple, Entidad No Regulada) and the first 100% digital institution within the technology industry to receive this distinction. Kueski is taking action to give seniors access to financial technologies. Cecilia Álvarez, director of compliance and internal control at Kueski, said in an interview with Contxto that since last year they have carried out some changes so that this segment has more accessibility to their products. The executive shared that only one in 10 seniors use digital means to manage their finances compared to nine out of 10 between 18 and 29 years old. Álvarez explained that they have granted around 200,000 loans to this sector and that approximately 20% of Kueski’s users are seniors. He pointed out that in Mexico there are around 18 million senior citizens, who represent almost 14% of the population. To avoid fraud specifically in this sector, Kueski has implemented some additional authentication factors so that no one can access the personal accounts of seniors without their consent, as this segment of the population is sometimes vulnerable even by family members or caregivers, explained Álvarez. “On the customer service side, we made many adjustments so that when a senior citizen is automatically identified in our systems, he or she does not have to wait as long as someone else would have to, they have a priority issue, they will be attended to more quickly,” said Álvarez. The customer service team received very specific training in terms of language, patience and empathy, said Álvarez. There was a structural change in communication with seniors to address their concerns. Alvarez emphasized that Kueski has always been focused on inclusion in general for the underserved sectors of the population and they are constantly looking for the necessary means to reduce those important gaps as a society. Other platforms similar to Kueski were contacted by Contxto to find out if they had any specific actions to integrate seniors into their digital financial services, and although they work to democratize access to credit for the general population, they do not yet have concrete initiatives for this segment, as they have started to do for the female population, for example. From microcredit to BNPL Kueski was founded in 2012 with an offer of online personal microcredit, the startup, which was a pioneer in the fintech ecosystem in Mexico evolved a few years ago to also offer credit under the buy now pay later format. Today, Alvarez shared, the BNPL business is already as important as the online credit business for Kueski. Last year Kuesky Pay, the BNL branch, was integrated as a payment method on Amazon and that meant exponential growth. “A short time later we reached one million transactions with Amazon directly,” Alvarez boasted. 2024 was a year of growth driven by this alliance. By October they already had 20 million loans deposited, which meant they doubled their growth in 18 months. To date, Kueski has already surpassed 25 million loans deposited. Among the objectives for 2025 is to expand the user base, especially in underserved segments (although for the moment they are focusing only on Mexicans, they do not yet serve foreigners living in the country). They are also working on the implementation of educational programs and improvements in accessibility to make it easier for customers to manage their finances, in addition to strengthening their marketing campaigns.",,2025-05-08T10:18:43.687525
